form_type,num_questions,num_responses,avg_ans_length,submission_hour,label
3,7,70,21,23,0
4,10,31,90,13,2
2,3,19,130,10,2
4,7,61,48,15,1
4,5,54,29,3,2
0,14,39,149,19,2
2,3,91,17,4,1
2,6,74,29,21,1
2,7,90,72,20,1
4,9,19,142,13,1
3,3,39,71,22,2
2,5,67,113,15,2
4,4,45,115,17,2
0,11,13,115,6,0
3,12,92,38,9,1
0,8,58,115,6,1
3,12,20,12,0,0
4,5,92,117,22,2
1,10,72,87,20,2
3,10,61,46,18,1
0,4,39,105,15,2
4,8,1,10,18,0
3,9,3,30,3,0
1,4,77,68,17,2
1,13,92,63,1,2
2,12,62,113,0,1
2,4,63,125,14,2
0,12,25,37,4,1
3,3,56,25,19,2
3,10,33,74,10,1
2,3,38,116,9,2
3,11,6,8,1,0
3,13,58,98,2,1
1,8,44,79,22,2
2,9,45,66,22,1
4,12,32,98,11,2
2,9,45,99,19,2
4,12,61,59,4,0
1,5,47,141,4,2
0,4,21,135,5,2
3,11,80,35,8,1
1,10,85,44,1,0
3,14,75,40,20,1
0,12,36,10,11,1
0,9,99,70,2,1
1,11,19,79,19,1
0,6,20,8,21,0
4,6,57,83,11,1
0,3,18,138,23,1
3,10,47,122,16,2
3,14,49,117,9,1
3,5,14,98,23,2
3,9,15,66,13,2
4,14,31,83,22,1
2,4,1,140,16,1
1,4,54,30,17,2
3,9,3,48,18,0
0,8,16,137,16,1
3,5,87,74,13,2
0,11,57,122,8,1
0,12,75,72,7,2
3,8,12,23,1,0
4,12,74,24,12,1
0,12,96,117,6,2
0,8,16,144,8,1
3,3,72,51,21,1
0,6,76,5,21,1
0,12,24,94,10,1
3,8,28,146,13,2
3,8,8,68,3,0
1,13,92,42,12,1
4,14,36,41,1,1
4,7,90,130,22,1
0,3,8,143,4,1
4,10,58,104,10,1
0,7,60,81,5,1
1,14,50,7,17,0
3,14,28,138,20,1
3,14,92,14,9,1
3,7,41,9,3,0
4,9,64,142,8,1
1,6,27,134,5,0
4,8,63,17,1,1
4,6,17,134,16,1
1,5,73,88,4,2
1,9,33,69,5,1
1,10,84,67,11,2
1,6,77,105,22,1
3,4,92,77,20,2
2,14,29,21,9,0
2,12,13,13,21,0
1,5,46,147,20,2
2,3,35,42,5,1
2,10,6,98,7,1
1,5,82,99,1,2
2,14,69,53,11,1
4,12,47,73,12,1
0,9,25,66,20,2
0,12,66,82,6,1
1,7,10,121,9,1
3,12,56,124,12,1
1,7,30,141,16,1
3,9,5,80,20,2
0,11,33,39,13,2
1,14,65,5,1,0
4,7,18,44,21,1
2,3,96,68,10,2
3,12,49,64,0,2
2,12,11,68,18,1
2,3,85,97,20,2
1,4,26,76,3,1
2,8,63,15,18,2
4,11,89,109,20,2
2,10,86,18,10,2
1,7,59,64,7,1
4,3,27,34,10,1
0,9,49,39,3,1
2,7,77,9,16,0
1,8,33,87,6,1
0,9,98,127,7,2
0,5,99,82,2,2
3,14,1,66,21,1
4,12,21,136,1,1
2,5,55,93,22,2
1,7,6,46,14,0
3,8,92,93,23,1
4,11,81,44,21,1
3,14,69,76,21,1
4,7,95,43,4,0
4,3,5,108,23,1
2,6,3,18,0,1
4,7,53,36,3,0
3,14,23,129,14,1
4,12,53,101,19,1
2,12,37,27,18,2
2,7,74,67,2,1
3,9,74,147,19,1
0,6,83,149,10,2
0,3,17,57,16,1
4,7,85,108,12,2
1,9,78,108,10,2
4,12,73,43,1,1
3,12,1,138,8,1
3,8,51,71,1,1
3,7,45,139,20,2
3,6,77,46,8,1
3,4,4,19,8,1
2,6,62,115,7,1
0,12,65,37,16,1
3,12,32,42,0,0
1,5,34,101,10,2
1,12,92,37,7,1
1,3,95,90,9,2
1,10,72,70,6,1
2,7,39,14,2,0
1,6,26,9,2,0
3,10,34,127,17,2
4,9,54,78,4,1
1,4,3,101,11,1
2,3,50,122,11,2
2,14,12,42,18,1
1,13,65,145,5,2
4,6,54,51,1,1
1,10,5,113,11,1
2,14,94,19,18,1
0,4,94,140,4,2
3,5,57,9,11,1
2,14,17,51,16,1
1,3,47,72,16,2
3,3,23,80,9,1
1,5,79,134,22,2
1,13,85,99,16,1
0,7,14,119,14,2
3,14,66,40,11,1
3,5,75,30,15,2
0,3,51,47,23,2
2,3,38,31,18,2
1,10,64,73,7,2
4,12,98,15,20,2
1,13,38,78,16,2
1,14,50,108,22,2
2,14,98,42,4,1
1,4,82,138,21,2
0,5,30,27,15,1
0,4,79,51,5,1
3,5,91,94,7,1
4,9,51,50,17,1
1,3,63,111,11,2
1,12,98,144,14,1
2,10,52,145,8,1
0,12,38,108,12,2
4,12,97,115,14,2
3,12,88,108,9,2
0,4,79,64,15,2
3,5,30,104,6,1
2,11,51,72,16,2
2,9,81,137,22,1
1,6,5,124,20,2
4,12,29,41,21,0
3,7,4,76,6,1
0,4,10,131,13,2
2,13,56,110,14,2
